hero_id,name,primary_attr,roles_list
1,Anti-Mage,agi,"['Carry', 'Escape', 'Nuker']"
2,Axe,str,"['Initiator', 'Durable', 'Disabler', 'Carry']"
3,Bane,all,"['Support', 'Disabler', 'Nuker', 'Durable']"
4,Bloodseeker,agi,"['Carry', 'Disabler', 'Nuker', 'Initiator']"
5,Crystal Maiden,int,"['Support', 'Disabler', 'Nuker']"
6,Drow Ranger,agi,"['Carry', 'Disabler', 'Pusher']"
7,Earthshaker,str,"['Support', 'Initiator', 'Disabler', 'Nuker']"
8,Juggernaut,agi,"['Carry', 'Pusher', 'Escape']"
9,Mirana,agi,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']"
10,Morphling,agi,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']"
11,Shadow Fiend,agi,"['Carry', 'Nuker']"
12,Phantom Lancer,agi,"['Carry', 'Escape', 'Pusher', 'Nuker']"
13,Puck,int,"['Initiator', 'Disabler', 'Escape', 'Nuker']"
14,Pudge,str,"['Disabler', 'Initiator', 'Durable', 'Nuker']"
15,Razor,agi,"['Carry', 'Durable', 'Nuker', 'Pusher']"
16,Sand King,all,"['Initiator', 'Disabler', 'Support', 'Nuker', 'Escape']"
17,Storm Spirit,int,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']"
18,Sven,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
19,Tiny,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']"
20,Vengeful Spirit,agi,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
21,Windranger,all,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']"
22,Zeus,int,"['Nuker', 'Carry']"
23,Kunkka,str,"['Carry', 'Support', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
25,Lina,int,"['Support', 'Carry', 'Nuker', 'Disabler']"
26,Lion,int,"['Support', 'Disabler', 'Nuker', 'Initiator']"
27,Shadow Shaman,int,"['Support', 'Pusher', 'Disabler', 'Nuker', 'Initiator']"
28,Slardar,str,"['Carry', 'Durable', 'Initiator', 'Disabler', 'Escape']"
29,Tidehunter,str,"['Initiator', 'Durable', 'Disabler', 'Nuker', 'Carry']"
30,Witch Doctor,int,"['Support', 'Nuker', 'Disabler']"
